conta_norm,n_obs,media,desvio_padrao,cv,padrao,previsao_jul26
disponivel aplicar,1,"814,676.75",0.00,0.0%,sem dados,"814,676.75"
bonus,1,"797,806.00",0.00,0.0%,sem dados,"797,806.00"
cdb,1,"714,676.75",0.00,0.0%,sem dados,"714,676.75"
cra,1,"100,000.00",0.00,0.0%,sem dados,"100,000.00"
vencimentos aplicacoes,1,"86,882.63",0.00,0.0%,sem dados,"86,882.63"
vencimentos 10 a 18/9,1,"65,070.13",0.00,0.0%,sem dados,"65,070.13"
necessidade dia 1,1,"58,357.86",0.00,0.0%,sem dados,"58,357.86"
a aplicar cdb,4,"52,436.11","24,933.76",47.6%,variavel nao-sazonal,"60,105.53"
necessidade dia 4,1,"47,704.20",0.00,0.0%,sem dados,"47,704.20"
a aplicar,1,"43,252.79",0.00,0.0%,sem dados,"43,252.79"
contas mensais :,3,"43,035.19",572.77,1.3%,fixa,"42,265.96"
contas mensais,1,"42,265.96",0.00,0.0%,sem dados,"42,265.96"
resgate mes,2,"40,836.69","2,793.15",6.8%,sem dados,"38,043.54"
estimativa - 01 a 08/07,1,"36,308.68",0.00,0.0%,sem dados,"36,308.68"
resgate cdb,2,"27,000.00",0.00,0.0%,sem dados,"27,000.00"
a aplicar cofrinhos,4,"25,534.72",0.00,0.0%,fixa,"25,534.72"
estimativa - 01/09,1,"24,517.76",0.00,0.0%,sem dados,"24,517.76"
financ imob,37,"21,751.53","6,374.12",29.3%,reajuste anual,"24,141.05"
salario,4,"21,700.00",0.00,0.0%,fixa,"21,700.00"
resgate mensal,3,"21,023.84",647.54,3.1%,fixa,"20,565.96"
resgate deai34,1,"19,950.00",0.00,0.0%,sem dados,"19,950.00"
resgate xp,1,"19,580.44",0.00,0.0%,sem dados,"19,580.44"
lydia,1,"19,202.77",0.00,0.0%,sem dados,"19,202.77"
cdb di,1,"18,965.39",0.00,0.0%,sem dados,"18,965.39"
resgate cdb semana 2,1,"18,404.39",0.00,0.0%,sem dados,"18,404.39"
venc. cdb 3s,2,"17,339.00","2,156.38",12.4%,sem dados,"19,495.38"
cartao one,3,"15,130.42","2,154.67",14.2%,variavel nao-sazonal,"15,130.42"
cartoes de credito,5,"14,032.84","1,640.97",11.7%,variavel sazonal,"12,604.63"
resgate cdb semana 1,1,"13,404.39",0.00,0.0%,sem dados,"13,404.39"
eletrodomesticos thiago,1,"11,926.00",0.00,0.0%,sem dados,"11,926.00"
contas - 2/9 ate 9/9,1,"10,589.32",0.00,0.0%,sem dados,"10,589.32"
ferias,1,"10,282.64",0.00,0.0%,sem dados,"10,282.64"
granito,1,"10,000.00",0.00,0.0%,sem dados,"10,000.00"
iptu,3,"9,616.41","10,241.44",106.5%,variavel nao-sazonal,"9,616.41"
escola,5,"6,225.46",540.00,8.7%,variavel sazonal,"7,305.46"
convenio pai e mae,13,"5,763.68","4,400.80",76.4%,variavel nao-sazonal,"11,325.56"
estimativa 9 a 18/09,1,"5,612.50",0.00,0.0%,sem dados,"5,612.50"
cartao azul,3,"5,251.84","4,365.28",83.1%,variavel nao-sazonal,"5,251.84"
juliana,1,"5,200.00",0.00,0.0%,sem dados,"5,200.00"
saude,5,"5,194.38",480.84,9.3%,variavel sazonal,"5,936.95"
reforma apto perdizes,4,"5,150.20","5,750.76",111.7%,variavel nao-sazonal,"1,830.00"
cartao black,37,"5,027.05","7,151.63",142.3%,variavel nao-sazonal,"7,067.01"
condominio,31,"4,748.53",445.83,9.4%,variavel nao-sazonal,"5,122.92"
ipva,6,"4,534.13","1,935.37",42.7%,variavel nao-sazonal,"5,399.66"
convenio sogra,40,"4,219.20","1,215.38",28.8%,variavel nao-sazonal,"4,720.00"
iptu casa,9,"3,950.36",17.55,0.4%,fixa,"3,944.16"
outros,4,"3,779.35","3,905.96",103.3%,variavel sazonal,"10,472.64"
cartao amazon,4,"3,136.00",718.30,22.9%,reajuste anual,"2,766.86"
escola maju,40,"3,063.01",219.57,7.2%,reajuste anual,"3,466.54"
empregada,5,"3,019.26",165.21,5.5%,variavel sazonal,"3,150.00"
iptu apto,14,"2,753.99",127.42,4.6%,fixa,"2,924.94"
escola malu,40,"2,641.06",260.22,9.9%,reajuste anual,"2,951.55"
14 salario deusa,1,"2,625.00",0.00,0.0%,sem dados,"2,625.00"
parcelamentos acabando,2,"2,467.53","2,037.53",82.6%,sem dados,430.00
seguros,5,"2,413.21",787.62,32.6%,variavel sazonal,901.11
casa,5,"2,287.99",173.49,7.6%,variavel sazonal,"2,595.18"
bki ipva-spejh0d90parc03,4,"2,230.77",0.00,0.0%,fixa,"2,230.77"
salario deusa + 13 salario,2,"2,039.13",65.11,3.2%,sem dados,"2,104.23"
salario deusa - ferias,2,"1,958.66","1,511.57",77.2%,sem dados,447.09
pagto thalita,40,"1,880.00",252.19,13.4%,reajuste anual,"2,200.00"
multas - p1,1,"1,845.71",0.00,0.0%,sem dados,"1,845.71"
entradas,1,"1,826.67",0.00,0.0%,sem dados,"1,826.67"
niver meninas,2,"1,822.38",0.00,0.0%,sem dados,"1,822.38"
reforma thiago,9,"1,812.48",586.40,32.4%,variavel sazonal,"1,826.67"
cartao porto,29,"1,673.70","1,305.71",78.0%,variavel sazonal,481.00
thalita,5,"1,600.00",0.00,0.0%,fixa,"1,600.00"
convenio marco antonio,38,"1,548.29",457.82,29.6%,variavel nao-sazonal,"1,976.38"
bki ipva-spfby0j86parc03,4,"1,437.84",0.00,0.0%,fixa,"1,437.84"
delta,1,"1,389.36",0.00,0.0%,sem dados,"1,389.36"
escola musica,8,"1,350.00",0.00,0.0%,fixa,"1,350.00"
red baloom maju,2,"1,334.89",15.12,1.1%,sem dados,"1,319.77"
red baloom malu,4,"1,327.33",13.09,1.0%,fixa,"1,319.77"
